#A,B,Weight
8508,14355,1
8508,16590,1
8508,4861,1
8508,7117,1
14355,16590,1
16590,4861,2
16590,7117,1
8732,346,1
8732,2613,1
8732,13219,1
8732,2756,1
15746,346,1
15746,2613,1
15746,13219,1
15746,2756,1
17606,346,1
17606,2613,1
17606,13219,1
17606,2756,1
346,2613,1
346,13219,1
346,2756,1
2613,13219,1
2613,2756,1
13219,2756,1
8732,18308,1
8732,7208,1
8732,8669,2
8732,2774,1
18308,7208,1
18308,8669,1
18308,2774,1
7208,8669,1
7208,2774,1
8669,2774,1
2339,9483,2
2339,18095,1
9483,18095,1
9483,12907,1
18095,12907,1
7777,3077,1
7777,13109,6
7777,7964,1
7777,10677,1
3077,7964,1
3077,10677,1
13109,7964,2
13109,10677,1
7964,10677,1
15222,17585,3
3512,17086,8
3512,1142,7
3512,17043,26
3512,17585,1
13024,14599,3
13024,17086,3
13024,1142,6
13024,13347,4
13024,17585,1
14599,17043,3
14599,17585,3
17086,17585,1
1142,17585,2
13347,17043,4
13347,17585,1
17043,17585,1
1187,5910,1
5910,1929,3
3014,1784,684
1784,9666,629
15227,3583,1
15227,1187,16
5252,14923,1
5252,1187,2
3583,14923,1
3583,1187,1
14923,12907,3
14923,1187,2
2501,18635,10
2501,15476,5
18635,17708,10
15476,17708,7
14181,4096,56
14181,19336,18
16215,4096,31
16215,19336,29
87,4096,7
87,19336,14
1784,4096,17
4096,19336,16
1134,9549,1
9549,4861,1
15222,12443,9
1504,4573,45
4573,3095,6
12443,3095,1
12443,1784,3
12443,19011,2
3095,4861,1
2501,10795,1
4861,8012,5
4861,12744,2
8012,12744,7
8012,7366,1
12744,7366,1
3435,5255,1
3435,437,1
3435,10211,1
3435,13728,1
3435,1134,1
3435,996,1
3435,7231,1
3435,12907,1
5255,13728,41
5255,1134,2
437,13728,50
437,1134,3
10211,996,4
13728,996,1
1134,7231,1
1134,12907,13
7231,12907,1
19063,5255,52
19063,437,45
19063,11116,1
19063,19318,1
5255,11116,1
5255,19318,1
5634,11116,1
5634,19318,1
437,11116,1
437,19318,1
10211,5029,35
10211,11116,1
10211,19318,1
8982,11116,1
8982,19318,1
